Day,Principle,Daily_interest,Interest Payed,Total Payment,APR,Minimum Payment
1,1000.55,0.55,0.55,0,20.0,10
2,1001.1,0.55,1.1,0,20.0,10
3,1001.64,0.55,1.64,0,20.0,10
4,1002.19,0.55,2.19,0,20.0,10
5,1002.74,0.55,2.74,0,20.0,10
6,1003.29,0.55,3.29,0,20.0,10
7,1003.84,0.55,3.84,0,20.0,10
8,1004.39,0.55,4.39,0,20.0,10
9,1004.94,0.55,4.94,0,20.0,10
10,1005.49,0.55,5.49,0,20.0,10
11,1006.04,0.55,6.04,0,20.0,10
12,1006.6,0.55,6.6,0,20.0,10
13,1007.15,0.55,7.15,0,20.0,10
14,1007.7,0.55,7.7,0,20.0,10
15,1008.25,0.55,8.25,0,20.0,10
16,1008.8,0.55,8.8,0,20.0,10
17,1009.36,0.55,9.36,0,20.0,10
18,1009.91,0.55,9.91,0,20.0,10
19,1010.46,0.55,10.46,0,20.0,10
20,1011.02,0.55,11.02,0,20.0,10
21,1011.57,0.55,11.57,0,20.0,10
22,1012.12,0.55,12.12,0,20.0,10
23,1012.68,0.55,12.68,0,20.0,10
24,1013.23,0.55,13.23,0,20.0,10
25,1013.79,0.56,13.79,0,20.0,10
26,1014.34,0.56,14.34,0,20.0,10
27,1014.9,0.56,14.9,0,20.0,10
28,1015.46,0.56,15.46,0,20.0,10
29,1016.01,0.56,16.01,0,20.0,10
30,1006.56,0.55,16.56,10,20.0,10
31,1007.12,0.55,17.12,10,20.0,10
32,1007.67,0.55,17.67,10,20.0,10
33,1008.22,0.55,18.22,10,20.0,10
34,1008.77,0.55,18.77,10,20.0,10
35,1009.32,0.55,19.32,10,20.0,10
36,1009.88,0.55,19.88,10,20.0,10
37,1010.43,0.55,20.43,10,20.0,10
38,1010.98,0.55,20.98,10,20.0,10
39,1011.54,0.55,21.54,10,20.0,10
40,1012.09,0.55,22.09,10,20.0,10
41,1012.65,0.55,22.65,10,20.0,10
42,1013.2,0.55,23.2,10,20.0,10
43,1013.76,0.56,23.76,10,20.0,10
44,1014.31,0.56,24.31,10,20.0,10
45,1014.87,0.56,24.87,10,20.0,10
46,1015.43,0.56,25.43,10,20.0,10
47,1015.98,0.56,25.98,10,20.0,10
48,1016.54,0.56,26.54,10,20.0,10
49,1017.1,0.56,27.1,10,20.0,10
50,1017.65,0.56,27.65,10,20.0,10
51,1018.21,0.56,28.21,10,20.0,10
52,1018.77,0.56,28.77,10,20.0,10
53,1019.33,0.56,29.33,10,20.0,10
54,1019.88,0.56,29.88,10,20.0,10
55,1020.44,0.56,30.44,10,20.0,10
56,1021.0,0.56,31.0,10,20.0,10
57,1021.56,0.56,31.56,10,20.0,10
58,1022.12,0.56,32.12,10,20.0,10
59,1022.68,0.56,32.68,10,20.0,10
60,1013.24,0.55,33.24,20,20.0,10
61,1013.79,0.56,33.79,20,20.0,10
62,1014.35,0.56,34.35,20,20.0,10
63,1014.9,0.56,34.9,20,20.0,10
64,1015.46,0.56,35.46,20,20.0,10
65,1016.02,0.56,36.02,20,20.0,10
66,1016.57,0.56,36.57,20,20.0,10
67,1017.13,0.56,37.13,20,20.0,10
68,1017.69,0.56,37.69,20,20.0,10
69,1018.24,0.56,38.24,20,20.0,10
70,1018.8,0.56,38.8,20,20.0,10
71,1019.36,0.56,39.36,20,20.0,10
72,1019.92,0.56,39.92,20,20.0,10
73,1020.48,0.56,40.48,20,20.0,10
74,1021.04,0.56,41.04,20,20.0,10
75,1021.6,0.56,41.6,20,20.0,10
76,1022.16,0.56,42.16,20,20.0,10
77,1022.72,0.56,42.72,20,20.0,10
78,1023.28,0.56,43.28,20,20.0,10
79,1023.84,0.56,43.84,20,20.0,10
80,1024.4,0.56,44.4,20,20.0,10
81,1024.96,0.56,44.96,20,20.0,10
82,1025.52,0.56,45.52,20,20.0,10
83,1026.08,0.56,46.08,20,20.0,10
84,1026.65,0.56,46.65,20,20.0,10
85,1027.21,0.56,47.21,20,20.0,10
86,1027.77,0.56,47.77,20,20.0,10
87,1028.33,0.56,48.33,20,20.0,10
88,1028.9,0.56,48.9,20,20.0,10
89,1029.46,0.56,49.46,20,20.0,10
90,1020.02,0.56,50.02,30,20.0,10
91,1020.58,0.56,50.58,30,20.0,10
92,1021.14,0.56,51.14,30,20.0,10
93,1021.7,0.56,51.7,30,20.0,10
94,1022.26,0.56,52.26,30,20.0,10
95,1022.82,0.56,52.82,30,20.0,10
96,1023.38,0.56,53.38,30,20.0,10
97,1023.94,0.56,53.94,30,20.0,10
98,1024.5,0.56,54.5,30,20.0,10
99,1025.06,0.56,55.06,30,20.0,10
100,1025.62,0.56,55.62,30,20.0,10
101,1026.19,0.56,56.19,30,20.0,10
102,1026.75,0.56,56.75,30,20.0,10
103,1027.31,0.56,57.31,30,20.0,10
104,1027.87,0.56,57.87,30,20.0,10
105,1028.44,0.56,58.44,30,20.0,10
106,1029.0,0.56,59.0,30,20.0,10
107,1029.56,0.56,59.56,30,20.0,10
108,1030.13,0.56,60.13,30,20.0,10
109,1030.69,0.56,60.69,30,20.0,10
110,1031.26,0.56,61.26,30,20.0,10
111,1031.82,0.57,61.82,30,20.0,10
112,1032.39,0.57,62.39,30,20.0,10
113,1032.95,0.57,62.95,30,20.0,10
114,1033.52,0.57,63.52,30,20.0,10
115,1034.09,0.57,64.09,30,20.0,10
116,1034.65,0.57,64.65,30,20.0,10
117,1035.22,0.57,65.22,30,20.0,10
118,1035.79,0.57,65.79,30,20.0,10
119,1036.35,0.57,66.35,30,20.0,10
120,1026.92,0.56,66.92,40,20.0,10
121,1027.48,0.56,67.48,40,20.0,10
122,1028.04,0.56,68.04,40,20.0,10
123,1028.61,0.56,68.61,40,20.0,10
124,1029.17,0.56,69.17,40,20.0,10
125,1029.73,0.56,69.73,40,20.0,10
126,1030.3,0.56,70.3,40,20.0,10
127,1030.86,0.56,70.86,40,20.0,10
128,1031.43,0.56,71.43,40,20.0,10
129,1031.99,0.57,71.99,40,20.0,10
130,1032.56,0.57,72.56,40,20.0,10
131,1033.12,0.57,73.12,40,20.0,10
132,1033.69,0.57,73.69,40,20.0,10
133,1034.26,0.57,74.26,40,20.0,10
134,1034.82,0.57,74.82,40,20.0,10
135,1035.39,0.57,75.39,40,20.0,10
136,1035.96,0.57,75.96,40,20.0,10
137,1036.52,0.57,76.52,40,20.0,10
138,1037.09,0.57,77.09,40,20.0,10
139,1037.66,0.57,77.66,40,20.0,10
140,1038.23,0.57,78.23,40,20.0,10
141,1038.8,0.57,78.8,40,20.0,10
142,1039.37,0.57,79.37,40,20.0,10
143,1039.94,0.57,79.94,40,20.0,10
144,1040.51,0.57,80.51,40,20.0,10
145,1041.08,0.57,81.08,40,20.0,10
146,1041.65,0.57,81.65,40,20.0,10
147,1042.22,0.57,82.22,40,20.0,10
148,1042.79,0.57,82.79,40,20.0,10
149,1043.36,0.57,83.36,40,20.0,10
150,1033.93,0.57,83.93,50,20.0,10
151,1034.49,0.57,84.49,50,20.0,10
152,1035.06,0.57,85.06,50,20.0,10
153,1035.63,0.57,85.63,50,20.0,10
154,1036.19,0.57,86.19,50,20.0,10
155,1036.76,0.57,86.76,50,20.0,10
156,1037.33,0.57,87.33,50,20.0,10
157,1037.9,0.57,87.9,50,20.0,10
158,1038.47,0.57,88.47,50,20.0,10
159,1039.04,0.57,89.04,50,20.0,10
