Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
2.073699224887833,999.9999999999999,1994-02-01,482.2300109863281,1000
4.196435873455398,1976.8989602582963,1994-03-01,471.0899963378906,2000
6.4207018066144155,2907.2296258813367,1994-04-01,452.7900085449219,3000
8.605204993803765,3939.2045954739438,1994-05-01,457.7699890136719,4000
10.763959772818966,4986.189203819324,1994-06-01,463.2300109863281,5000
12.98140869928249,5962.750283530519,1994-07-01,459.3299865722656,6000
15.075254901397052,7199.790933150985,1994-08-01,477.5899963378906,7000
17.17834859535071,8168.1328058459985,1994-09-01,475.489990234375,8000
19.34918358948657,9185.831228315985,1994-10-01,474.739990234375,9000
21.466661206311006,10137.845630927799,1994-11-01,472.260009765625,10000
23.627748614211043,10933.268375836074,1994-12-01,462.7300109863281,11000
25.83787344348685,12178.939647837487,1995-01-01,471.3599853515625,12000
27.882068940143135,13639.629372900077,1995-02-01,489.19000244140625,13000
29.849991821204334,15168.27316175509,1995-03-01,508.1499938964844,14000
31.90258415020771,16439.081885776017,1995-04-01,515.2899780273438,15000
33.77731475208388,18017.15655480344,1995-05-01,533.4099731445312,16000
35.59196622414568,19613.665087823305,1995-06-01,551.0700073242188,17000
37.49409537732323,21199.16244172174,1995-07-01,565.4000244140625,18000
39.26206682216724,22207.410044244923,1995-08-01,565.6199951171875,19000
40.963875887582816,24070.782510245765,1995-09-01,587.6099853515625,20000
42.8105118650673,25286.455788524287,1995-10-01,590.6599731445312,21000
44.45338425657871,27058.330571665665,1995-11-01,608.6900024414062,22000
46.05882991571195,28689.124202795287,1995-12-01,622.8800048828125,23000
47.80343271770506,30411.587476226807,1996-01-01,636.1799926757812,24000
49.308935374020415,32752.473180420435,1996-02-01,664.22998046875,25000
50.831074961206944,33394.489828072474,1996-03-01,656.969970703125,26000
52.544503228855,34504.92399547707,1996-04-01,656.6799926757812,27000
54.012716466037574,36788.059866348354,1996-05-01,681.0999755859375,28000
55.48261296949794,37745.931661775634,1996-06-01,680.3200073242188,29000
57.17022534074352,38640.21218245322,1996-07-01,675.8800048828125,30000
58.66124939233383,39342.92631280263,1996-08-01,670.6799926757812,31000
60.10867874755105,41527.88426660748,1996-09-01,690.8800048828125,32000
61.734450435395445,44084.56954872716,1996-10-01,714.0999755859375,33000
63.04657976726822,48049.05906438583,1996-11-01,762.1199951171875,34000
64.35934642299516,49025.732137716564,1996-12-01,761.75,35000
65.85907798243234,52336.232374778156,1997-01-01,794.6699829101562,36000
67.08205030529375,54851.65040230898,1997-02-01,817.6799926757812,37000
68.309194703429,55665.16443152924,1997-03-01,814.9000244140625,38000
69.8089341941719,56135.458594423384,1997-04-01,804.1300048828125,39000
70.98282223545974,60468.13643112528,1997-05-01,851.8699951171875,40000
72.09135904468025,65032.896016662846,1997-06-01,902.0900268554688,41000
73.40583727472446,70302.9710994141,1997-07-01,957.72998046875,42000
74.44299878952468,71775.7048706768,1997-08-01,964.1699829101562,43000
75.48402562932391,72509.20220643115,1997-09-01,960.5900268554688,44000
76.78426055716007,75488.14186403206,1997-10-01,983.1199951171875,45000
77.82101346022955,75062.25758310087,1997-11-01,964.5499877929688,46000
78.83495515858189,77750.9745251514,1997-12-01,986.25,47000
80.13799063815503,79548.9783634585,1998-01-01,992.6500244140625,48000
81.0888682673311,85277.9219736136,1998-02-01,1051.6600341796875,49000
81.98728440311301,91257.5822469591,1998-03-01,1113.0699462890625,50000
83.17736484831083,94238.2892012813,1998-04-01,1132.97998046875,51000
84.06191353628067,95033.67613287027,1998-05-01,1130.52001953125,52000
84.93516156377093,97263.50233836463,1998-06-01,1145.1500244140625,53000
86.09359520902416,102501.30880055003,1998-07-01,1190.5799560546875,54000
86.9850276207754,97578.93753256227,1998-08-01,1121.7900390625,55000
87.9230171469407,93735.60652259013,1998-09-01,1066.1099853515625,56000
89.1587060776668,98411.59920647854,1998-10-01,1103.780029296875,57000
89.99695014462401,107363.65897740271,1998-11-01,1192.969970703125,58000
90.80020812447529,113039.90797736733,1998-12-01,1244.9300537109375,59000
91.9217331431026,117693.82901559769,1999-01-01,1280.3699951171875,60000
92.70064642405896,119012.79473658474,1999-02-01,1283.8399658203125,61000
93.45603616025625,123718.9647700591,1999-03-01,1323.8199462890625,62000
94.5355930596003,129661.2435560203,1999-04-01,1371.56005859375,63000
95.26234781925845,131079.08349175053,1999-05-01,1375.97998046875,64000
95.99071704484068,131788.54030812453,1999-06-01,1372.9300537109375,65000
97.05474398767532,137849.76026291383,1999-07-01,1420.3299560546875,66000
97.77789346607993,135211.17885861613,1999-08-01,1382.8399658203125,67000
98.51243682928965,134113.84781807993,1999-09-01,1361.3900146484375,68000
99.61010039519954,136781.60593707315,1999-10-01,1373.1700439453125,69000
100.31170212316786,142975.27803081117,1999-11-01,1425.31005859375,70000
100.99054267477553,148769.1659486224,1999-12-01,1473.0999755859375,71000
102.04584719627414,150823.76215609317,2000-01-01,1478.0,72000
102.73810427716326,148410.3335500852,2000-02-01,1444.550048828125,73000
103.3820731883692,160538.9194872276,2000-03-01,1552.8699951171875,74000
104.42455336090116,159476.12752860846,2000-04-01,1527.18994140625,75000
105.09954036295198,155706.0210694797,2000-05-01,1481.510009765625,76000
105.77116358494797,157485.86427760494,2000-06-01,1488.9300537109375,77000
106.82686222968917,162090.52886058105,2000-07-01,1517.3199462890625,78000
107.48250966552504,163933.39436841992,2000-08-01,1525.2099609375,79000
108.13606600687643,165457.90954040462,2000-09-01,1530.0899658203125,80000
109.22894653864309,158908.4501365596,2000-10-01,1454.8199462890625,81000
109.92413446681334,158121.46617122082,2000-11-01,1438.4599609375,82000
110.64405093119392,153690.12434851646,2000-12-01,1389.050048828125,83000
111.78183853052903,154635.64142216818,2001-01-01,1383.3699951171875,84000
112.50838206970602,154854.2874624593,2001-02-01,1376.3800048828125,85000
113.29738647655375,143595.37854700282,2001-03-01,1267.4200439453125,86000
114.5100874605501,145347.6596049891,2001-04-01,1269.300048828125,87000
115.27000627020111,151687.26554240583,2001-05-01,1315.9300537109375,88000
116.04723653538824,149308.6949045243,2001-06-01,1286.6199951171875,89000
117.28900837175331,145412.57023533373,2001-07-01,1239.780029296875,90000
118.1044894518357,144827.99458683087,2001-08-01,1226.27001953125,91000
118.96999055869878,137457.92999606137,2001-09-01,1155.4000244140625,92000
120.31653411831336,133624.74419469078,2001-10-01,1110.6099853515625,93000
121.17609848748157,140973.8500500465,2001-11-01,1163.3800048828125,94000
122.02816304343705,143214.69211519795,2001-12-01,1173.6199951171875,95000
123.33540800410418,145162.07154524847,2002-01-01,1176.969970703125,96000
124.22020719292306,140393.67210400183,2002-02-01,1130.199951171875,97000
125.07203952669825,146827.06275353231,2002-03-01,1173.93994140625,98000
126.41226126205868,145101.04564630985,2002-04-01,1147.8399658203125,99000
127.31593835193605,140886.53986924994,2002-05-01,1106.5899658203125,100000
128.24987190174315,137322.2665876323,2002-06-01,1070.739990234375,101000
129.73637976173524,129017.6430685081,2002-07-01,994.4600219726562,102000
130.77264919178705,126195.6064700745,2002-08-01,965.0,103000
131.85487682632174,121836.54586034839,2002-09-01,924.02001953125,104000
133.45133384569698,121099.07871074819,2002-10-01,907.4400024414062,105000
134.5131078494592,126687.1362199811,2002-11-01,941.8200073242188,106000
135.56101828381756,129363.17249939563,2002-12-01,954.280029296875,107000
137.13883364246522,128231.66472332907,2003-01-01,935.0499877929688,108000
138.29538432605415,119575.72312949075,2003-02-01,864.6400146484375,109000
139.41158029965513,124898.83819406407,2003-03-01,895.9000244140625,110000
141.01634378828004,130332.94420576721,2003-04-01,924.239990234375,111000
142.05220530907195,137134.35865488616,2003-05-01,965.3800048828125,112000
143.03710675310313,145229.86804411002,2003-06-01,1015.3300170898438,113000
144.55831979372567,146785.95961956555,2003-07-01,1015.4099731445312,114000
145.54742968417258,147149.90830635696,2003-08-01,1011.010009765625,115000
146.5087000630577,152411.54131159437,2003-09-01,1040.2900390625,116000
148.00706332739816,155968.3690453048,2003-10-01,1053.7900390625,117000
148.94722219267047,158427.71652164074,2003-11-01,1063.6500244140625,118000
149.84605007371445,166712.73025005375,2003-12-01,1112.56005859375,119000
151.2734888650878,174778.36430358523,2004-01-01,1155.3800048828125,120000
152.1363165384317,176322.94517029915,2004-02-01,1158.97998046875,121000
152.99599176757,177969.5245155875,2004-03-01,1163.22998046875,122000
154.43886120629347,177692.71224306905,2004-04-01,1150.5699462890625,123000
155.32559042460574,175166.8798285934,2004-05-01,1127.739990234375,124000
156.19793198977519,179055.9320183624,2004-06-01,1146.3399658203125,125000
157.66022136663975,179865.0815551402,2004-07-01,1140.8399658203125,126000
158.56138201799672,175952.40291421107,2004-08-01,1109.6800537109375,127000
159.44513333520908,180418.552402448,2004-09-01,1131.5400390625,128000
160.9186709532781,183777.17601954823,2004-10-01,1142.050048828125,129000
161.76009601837762,192245.39739524733,2004-11-01,1188.4599609375,130000
162.58156598634008,197915.41057745364,2004-12-01,1217.3299560546875,131000
164.01239972453416,199734.30839295566,2005-01-01,1217.800048828125,132000
164.837182846443,199855.18431191266,2005-02-01,1212.43994140625,133000
165.65077968636612,203603.02739378437,2005-03-01,1229.1099853515625,134000
167.1109807454077,199176.2365468081,2005-04-01,1191.8800048828125,135000
167.94461970565476,201459.65785462028,2005-05-01,1199.56005859375,136000
168.76456741597178,205823.57300652485,2005-06-01,1219.5899658203125,137000
170.2005506184656,211925.21975786932,2005-07-01,1245.1500244140625,138000
171.00320903253916,213046.0555003494,2005-08-01,1245.8599853515625,139000
171.8076301277361,213579.22007959703,2005-09-01,1243.1300048828125,140000
173.26271519125845,213691.83123192124,2005-10-01,1233.3399658203125,141000
174.049720156057,221154.5389686487,2005-11-01,1270.6400146484375,142000
174.83354204171889,223052.641473619,2005-12-01,1275.800048828125,143000
176.2614282160241,228240.9277001871,2006-01-01,1294.9000244140625,144000
177.03209957972197,229711.5319430998,2006-02-01,1297.5699462890625,145000
177.79494590911534,233067.8395614805,2006-03-01,1310.8800048828125,146000
179.22031018294666,236241.05019644718,2006-04-01,1318.1600341796875,147000
179.97406011646908,238771.5767687236,2006-05-01,1326.699951171875,148000
180.7488454686753,233288.9295776998,2006-06-01,1290.6800537109375,149000
182.2076473488086,233302.3238255335,2006-07-01,1280.4200439453125,150000
182.97291052853316,239098.0193172106,2006-08-01,1306.739990234375,151000
183.71902326478323,246234.93788371692,2006-09-01,1340.280029296875,152000
185.12767886478628,257225.64435923984,2006-10-01,1389.449951171875,153000
185.83796162096428,261639.41050877515,2006-11-01,1407.8900146484375,154000
