Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
0.4314138366719456,500.0,2004-02-01,1158.97998046875,500
0.86125145124109,1001.8335088058558,2004-03-01,1163.22998046875,1000
1.295818686038637,1490.9300359958381,2004-04-01,1150.5699462890625,1500
1.7391832951947657,1961.346552338733,2004-05-01,1127.739990234375,2000
2.175354077779497,2493.6953191688262,2004-06-01,1146.3399658203125,2500
2.6136276437309482,2981.7308717410388,2004-07-01,1140.8399658203125,3000
3.0642079694094395,3400.2904640757497,2004-08-01,1109.6800537109375,3500
3.5060836280156153,3967.274005401181,2004-09-01,1131.5400390625,4000
3.943892812046611,4504.122978570723,2004-10-01,1142.050048828125,4500
4.364605344596367,5187.158697346602,2004-11-01,1188.4599609375,5000
4.775340328577602,5813.164832333549,2004-12-01,1217.3299560546875,5500
5.18591676145026,6315.4096853127185,2005-01-01,1217.800048828125,6000
5.598308322404672,6787.612614390442,2005-02-01,1212.43994140625,6500
6.005106742366239,7380.936660144337,2005-03-01,1229.1099853515625,7000
6.424612059975088,7657.3666534132835,2005-04-01,1191.8800048828125,7500
6.841431540098619,8206.708019105828,2005-05-01,1199.56005859375,8000
7.251405395257138,8843.741258150883,2005-06-01,1219.5899658203125,8500
7.652963432599095,9529.08760494069,2005-07-01,1245.1500244140625,9000
8.054292639635877,10034.52091003395,2005-08-01,1245.8599853515625,9500
8.456503187234343,10512.532848438148,2005-09-01,1243.1300048828125,10000
8.86190641250601,10929.74335190297,2005-10-01,1233.3399658203125,10500
9.255408894905276,11760.292893799719,2005-11-01,1270.6400146484375,11000
9.647319837736225,12308.051120044414,2005-12-01,1275.800048828125,11500
10.033450033560607,12992.314693414906,2006-01-01,1294.9000244140625,12000
10.418785715409555,13519.103221141228,2006-02-01,1297.5699462890625,12500
10.800208880106235,14157.777869489055,2006-03-01,1310.8800048828125,13000
11.179525493442307,14736.403706548599,2006-04-01,1318.1600341796875,13500
11.556400460203518,15331.87592627464,2006-05-01,1326.699951171875,14000
11.943793136306638,15415.615566680579,2006-06-01,1290.6800537109375,14500
12.334289991119507,15793.072132463467,2006-07-01,1280.4200439453125,15000
12.716921580981786,16617.709982543452,2006-08-01,1306.739990234375,15500
13.089977949106816,17544.23602912433,2006-09-01,1340.280029296875,16000
13.449832580486877,18687.869222227386,2006-10-01,1389.449951171875,16500
13.804973958575886,19435.884988760703,2006-11-01,1407.8900146484375,17000
14.154182288967888,20266.10057251373,2006-12-01,1431.81005859375,17500
14.501016734539563,20904.81052226234,2007-01-01,1441.6099853515625,18000
14.843114628156973,21694.250249837787,2007-02-01,1461.5699462890625,18500
15.190604703777634,21857.609424737224,2007-03-01,1438.8900146484375,19000
15.524378614326878,23255.829955044468,2007-04-01,1498.02001953125,19500
15.849992710110207,24338.61573464734,2007-05-01,1535.56005859375,20000
16.174550001603542,24917.865698197893,2007-06-01,1540.56005859375,20500
16.49590741027657,25665.982742381428,2007-07-01,1555.9000244140625,21000
16.828378531920983,25308.030436880097,2007-08-01,1503.8900146484375,21500
17.153319719628623,26394.49901786846,2007-09-01,1538.739990234375,22000
17.470560493215913,27535.17509061437,2007-10-01,1576.0899658203125,22500
17.79401968713286,27505.818387252,2007-11-01,1545.7900390625,23000
18.122196283959177,27610.43361899153,2007-12-01,1523.5699462890625,23500
18.461923274837307,27171.705178791744,2008-01-01,1471.77001953125,24000
18.820084327690896,26273.214490722818,2008-02-01,1396.02001953125,24500
19.187817897537247,26089.29326951913,2008-03-01,1359.6800537109375,25000
19.5437987451419,27450.632353748206,2008-04-01,1404.5699462890625,25500
19.890963108991173,28647.76051384576,2008-05-01,1440.239990234375,26000
